Food Group,Major Food Code,Minor Food Code,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001-02,2002-03,2003-04,2004-05,2005-06,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
Natural cheese,,,8,9,11,14,15,19,22,24,25,27,27,29,31,31,35,36,38,39,41,43,42,44,47,49,46,47,48,50,51,51,53,57,57,61,63,69,72,74,74,78,73,72,72,78,80,83,85,99,88,94,101
,Hard cheese - cheddar type,,5,6,8,10,11,13,15,17,18,18,18,19,20,20,23,24,25,25,26,27,27,28,29,31,30,29,31,30,30,31,30,34,35,37,40,43,44,45,45,48,44,42,42,43,45,45,45,52,47,52,52
,Hard cheese - other uk or foreign equivalent,,2,2,2,2,3,3,4,4,4,5,4,5,5,5,5,5,5,5,6,6,6,6,7,7,6,5,6,7,7,6,7,7,6,7,7,7,7,7,6,6,6,5,6,7,6,6,6,7,7,6,9
,Hard cheese - edam or other foreign,,0,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,5,4,4,5,4,5,6,5,6,6,5,6,6,7,7,7,8,9,8,8,9,10,10,11,12,13,13,12,12
,Cottage cheese,,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,1,2
,Soft natural cheese,,0,0,0,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,4,5,4,5,5,6,6,8,8,9,9,10,10,10,13,13,14,14,14,14,14,17,18,19,20,25,20,23,26
Processed cheese,,,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,5,4,5,5,6,6,5,5,6,7,7,8,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,8,9,10,10
,,,44,52,59,70,80,92,105,102,109,108,104,110,113,110,114,122,116,118,108,111,105,101,104,105,100,98,106,103,106,111,114,114,120,121,122,127,130,129,136,136,141,135,136,127,133,127,129,160,120,118,136
Beef and veal,,,24,30,32,39,45,50,55,53,58,57,55,59,61,63,64,67,58,61,56,57,56,53,45,50,48,49,54,56,57,60,64,63,68,67,68,71,73,72,77,81,84,82,82,82,83,82,80,101,76,74,88
,Beef joints - on the bone,,1,3,2,4,3,4,4,1,2,2,2,2,2,3,3,2,2,2,2,1,1,2,3,2,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1
,Beef joints - boned,,9,11,12,14,16,16,19,18,21,20,18,20,20,20,20,20,18,16,15,14,16,15,8,9,11,11,13,14,15,15,15,14,17,14,14,14,13,14,15,14,15,15,15,14,14,13,11,18,13,11,13
,Beef steak - less expensive,,6,7,8,9,11,12,12,13,13,14,13,12,13,13,13,13,12,12,12,11,10,10,9,9,9,7,8,7,8,7,8,10,10,10,10,11,11,11,12,11,13,13,13,13,14,13,13,17,15,14,17
,Beef steak - more expensive,,5,6,6,6,9,10,11,11,11,10,11,12,13,14,14,17,12,14,12,13,13,14,13,17,16,16,17,19,18,21,23,21,21,22,21,21,23,20,21,25,26,23,22,25,25,28,25,36,22,20,27
,Minced beef,,4,4,5,6,6,8,9,9,11,11,11,12,12,13,14,15,14,16,15,16,14,14,11,12,12,13,15,14,15,15,16,17,18,21,22,24,25,27,29,29,29,30,30,28,30,27,29,29,25,28,31
,All other beef and veal,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0
Mutton and lamb,,,11,13,15,17,19,23,26,26,25,26,24,25,24,23,25,27,29,29,27,27,23,22,29,26,24,25,25,24,25,27,25,28,28,29,27,28,30,28,29,28,28,27,30,21,26,22,28,32,23,22,22
,Mutton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0
,Lamb joints,,6,7,9,10,12,13,15,15,14,15,14,14,14,13,13,15,16,15,13,13,10,11,13,12,11,12,11,12,13,13,12,13,13,15,12,13,14,13,14,13,15,14,16,8,14,11,13,13,10,11,10
,Lamb chops,,4,5,5,6,6,8,9,9,9,9,9,9,9,9,10,11,11,12,12,11,10,9,10,9,9,9,10,9,9,11,10,12,12,11,12,10,11,11,9,10,9,9,9,9,8,7,8,13,9,7,7
,All other lamb,,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,3,2,2,5,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,5,4,4,4,4,4,4,4,6,6,3,3,5
Pork,,,9,10,11,14,17,19,24,23,26,24,25,26,28,25,26,28,29,28,25,27,26,25,31,29,27,24,26,24,24,24,24,23,24,25,27,28,28,29,30,28,30,26,25,24,24,23,20,27,21,21,25
,Pork joints,,4,4,5,6,7,7,10,9,11,10,9,9,11,9,9,10,9,8,6,9,8,8,7,8,7,7,8,7,7,7,7,6,7,9,9,9,9,9,9,8,11,8,8,8,7,7,6,9,7,6,7
,Pork chops,,4,4,5,5,7,8,9,10,11,11,11,12,12,11,12,12,13,13,12,11,10,10,12,11,9,9,9,8,8,7,7,7,6,6,7,7,6,5,6,5,4,4,4,3,4,3,3,3,2,3,3
,Pork fillets and steaks,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4,4,5,4,5,5,5,6,6,7,8,7,6,6,7,7,8,7,8,9,9,8,9,8,8,7,8,8,7,8,7,7,8
,All other pork,,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,3,6,5,5,2,2,1,1,4,4,4,3,3,4,5,5,5,6,7,6,6,6,6,5,5,5,6,5,6,7
,,,56,65,76,91,101,117,130,142,152,160,167,172,182,194,203,224,244,244,260,284,285,301,321,329,332,327,338,355,364,382,380,381,385,393,406,423,441,449,471,484,482,456,458,485,492,503,510,532,476,510,557
Liver,,,4,4,5,5,5,6,6,6,6,4,5,5,5,5,4,4,4,4,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Ox liver,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lambs liver,,2,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,1,2,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,Pigs liver,,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,All other liver,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
All offal other than liver,,,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"Bacon and ham, uncooked",,,13,15,18,20,22,24,26,27,28,29,28,29,29,29,30,32,33,32,31,31,30,32,37,36,35,32,35,37,36,37,37,35,36,36,40,42,43,43,44,43,42,38,37,38,35,36,34,40,31,34,38
,"Bacon and ham joints, uncooked",,3,4,4,5,5,6,6,7,7,8,7,7,8,9,9,9,9,8,7,8,7,8,9,11,13,10,11,9,9,9,9,9,9,9,10,12,12,12,13,13,11,10,9,11,9,9,9,10,8,7,10
,"Bacon and ham rashers, uncooked",,10,12,14,15,17,18,19,20,21,21,21,22,21,21,21,23,24,24,24,23,22,24,28,25,22,22,24,28,27,28,28,26,27,27,30,31,32,30,31,31,30,28,28,27,26,27,25,30,23,26,27
"Bacon and ham, cooked",,,4,5,6,6,7,8,9,10,11,11,11,12,12,13,13,16,17,17,18,19,21,22,19,25,24,24,25,31,31,35,33,34,36,37,38,39,39,40,40,40,39,37,38,38,39,36,36,39,37,37,37
Cooked poultry not purchased in cans,,,1,1,1,1,1,2,2,2,3,3,3,3,4,5,7,5,7,7,8,9,10,13,15,20,21,21,20,23,24,25,26,26,27,26,25,27,28,28,30,32,30,31,31,32,34,32,37,34,29,34,33
,"Chicken and turkey, cooked",,1,1,1,1,1,2,2,2,2,2,2,3,4,5,6,5,6,6,7,8,9,10,9,14,14,14,15,18,18,19,20,20,21,20,19,20,19,21,21,23,21,21,21,21,20,19,22,20,20,20,21
,Takeaway chicken,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,5,6,7,7,5,5,5,5,6,6,6,6,6,6,8,8,9,9,9,10,11,11,14,13,15,14,9,14,11
"Corned beef, canned or sliced",,,2,3,3,4,5,5,5,6,6,7,6,7,7,7,6,7,7,6,6,6,6,5,4,4,4,3,3,3,3,4,4,4,5,4,5,6,6,5,5,5,5,6,6,6,5,5,5,5,5,5,5
Other cooked meat,,,2,3,2,2,3,3,4,4,5,5,5,6,6,6,6,6,5,6,6,5,5,5,11,5,4,4,5,6,7,8,8,8,9,9,9,10,10,11,13,13,14,12,12,11,11,12,11,12,12,13,13
Other canned meat and canned meat products,,,4,4,4,4,4,5,5,5,5,6,5,6,6,6,6,6,6,6,7,7,6,7,6,5,6,5,6,6,7,7,7,6,6,5,6,7,7,7,6,6,6,5,5,4,5,6,6,5,5,6,5
"Chicken, uncooked - whole chicken or chicken pieces",,,7,9,11,13,15,18,19,21,22,23,26,25,29,31,32,34,39,39,39,41,40,41,50,51,48,48,53,51,51,58,57,62,62,64,70,73,75,81,86,89,89,82,81,84,83,89,91,95,86,97,96
"Other poultry, uncooked (including frozen)",,,1,1,1,2,2,3,4,4,3,5,5,5,5,6,6,6,6,5,6,7,7,7,12,10,10,9,8,12,12,11,13,11,10,11,11,11,10,10,13,13,12,9,9,13,11,10,10,11,8,9,11
,"Turkey, uncooked - whole turkey or turkey pieces",,1,1,1,2,1,2,3,4,3,4,5,4,4,5,5,5,5,4,5,7,7,7,10,9,9,8,7,11,10,10,11,9,9,10,9,9,8,7,11,11,10,7,7,10,8,8,8,8,6,8,8
,"Poultry other than chicken or turkey, uncooked",,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,2,2,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,1,2,3,2,1,3
"Other fresh, chilled and frozen meat",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,2,1,1,0,2,1,0,0,1,2,1,1
"Sausages, uncooked - pork",,,4,4,5,6,6,7,8,8,8,8,7,8,7,7,7,8,8,10,10,11,10,11,14,15,14,13,15,15,16,18,18,18,19,20,21,23,24,23,25,26,26,24,24,23,27,25,25,31,25,27,27
"Sausages, uncooked - beef and other sausages",,,3,3,4,4,6,6,6,7,7,8,8,8,8,7,7,8,8,5,6,5,5,5,4,4,3,4,4,3,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2
"Meat pies and sausage rolls, ready to eat",,,1,2,2,3,3,3,4,4,5,5,5,5,5,5,5,6,6,5,6,6,7,7,8,8,8,7,8,16,18,12,12,9,10,9,9,9,10,10,10,10,10,11,10,11,12,12,11,12,12,11,13
,"Meat pies, ready to eat",,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,6,5,5,13,15,9,8,5,6,5,5,5,6,5,5,6,6,6,6,7,6,6,5,7,7,6,7
,"Sausage rolls, ready to eat",,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,3,3,3,2,3,3,3,4,4,4,4,4,4,4,4,5,5,4,5,5,5,4,6,5,5,5,5,5,6
"Meat pies, pasties and puddings, frozen or not frozen",,,2,3,3,2,3,3,4,4,4,5,5,6,7,7,8,8,9,9,9,9,10,9,9,9,10,10,10,11,10,16,15,19,18,19,19,20,21,21,22,21,21,20,20,22,23,21,23,23,23,25,28
"Burgers, frozen or not frozen",,,1,1,2,3,4,4,5,5,7,6,7,7,7,7,7,8,9,10,10,11,11,11,9,9,9,9,9,8,7,8,8,7,8,8,8,9,10,10,9,10,11,11,11,10,11,13,12,13,13,14,16
Ready meals and convenience meat products,,,2,3,4,6,7,8,10,11,13,14,15,17,19,22,24,29,32,35,39,45,48,45,47,53,56,57,65,65,71,70,69,67,65,67,68,73,78,80,86,92,91,91,93,95,105,117,111,121,114,117,148
,"Complete meat-based ready meals, frozen or not frozen",,0,1,1,1,2,2,3,3,3,4,5,5,6,7,7,9,11,11,13,16,16,14,19,23,25,24,30,38,42,44,42,39,38,38,36,39,41,42,45,46,44,43,45,42,53,58,54,54,57,54,72
,"Other convenience meat products, frozen or not frozen",,2,2,3,4,5,6,7,8,9,10,11,12,14,15,17,19,21,24,26,29,31,32,28,30,30,33,35,27,29,26,27,27,27,29,32,34,37,38,40,47,47,48,48,54,52,59,56,67,57,62,76
Pate and delicatessen type sausage,,,1,1,1,1,2,3,4,4,4,5,5,5,6,6,7,7,7,7,8,8,8,9,9,9,8,8,10,7,7,8,8,7,7,8,10,9,11,12,12,13,13,13,12,12,12,14,14,15,16,14,17
,Pate,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,3
,Delicatessen type sausages,,1,1,1,1,2,3,4,4,4,5,5,5,6,6,7,7,7,7,5,5,6,6,6,6,5,6,6,5,5,6,6,5,5,6,8,7,9,9,9,10,10,11,10,10,10,12,12,12,13,12,14
Meat pastes and spreads,,,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0
Takeaway meats,,,1,1,2,4,5,7,8,10,11,13,17,16,18,22,24,32,37,36,44,57,55,65,61,60,67,68,58,56,57,61,61,61,62,65,61,61,64,63,63,64,68,64,64,79,73,73,81,69,56,62,63
,Takeaway meat pies and pasties,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,4,3,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,1,2
,Takeaway burger and bun,,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,3,4,4,5,6,6,6,6,6,7,7,6,6,5,6,6,6,5,6,5,6,6,6,7,6,7,8,8,10,9,10,13,14,11,12,12
,Takeaway kebabs,,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,3,4,4,4,6,6,7,6,6,7,7,6,6,6,7,7,7,6,7,8,7,7,8,8,9,11,10,10,9,13,10,10,9,7,10,7
,Takeaway sausages and saveloys,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,1,2,3,3
,Takeaway meat based meals,,1,1,1,3,3,4,5,7,8,9,12,11,13,15,17,23,27,26,31,41,40,46,44,43,48,48,42,41,41,45,44,44,47,49,43,44,47,44,43,45,46,43,43,56,48,48,53,43,35,36,38
,Takeaway miscellaneous meats,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,,,14,16,18,21,24,28,32,35,36,41,41,45,51,54,59,64,68,68,70,74,73,75,78,77,79,83,81,93,93,94,99,104,111,116,115,117,117,120,124,129,129,135,132,129,137,150,146,169,144,144,151
"White fish, fresh, chilled or frozen",,,5,6,7,7,9,9,11,11,11,12,12,13,15,16,17,18,19,21,18,18,19,18,20,18,19,19,19,21,20,17,16,16,17,17,18,16,16,14,18,16,17,16,15,13,16,16,16,21,19,18,15
,"White fish, fresh or chilled",,4,4,4,5,6,7,7,7,7,8,8,8,10,10,11,11,11,12,10,11,11,10,10,9,10,10,10,12,11,11,12,12,13,13,13,11,13,11,13,13,13,12,12,11,13,13,14,17,15,14,12
,"White fish, frozen",,1,1,2,2,3,3,4,4,4,4,4,5,6,6,6,7,8,9,8,7,8,8,10,9,9,9,9,9,9,6,4,4,4,4,5,5,4,3,5,4,4,4,3,2,3,3,3,4,5,5,3
"Herrings and other blue fish, fresh, chilled or frozen",,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,3,3,2,4,3,4,4,4,4,5,4,4,3,3,4,3,3,4,4,4,4,4,3,3,3,2,3
,"Herrings and other blue fish, fresh or chilled",,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,3,2,2,3,3,4,3,4,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3
,"Herrings and other blue fish, frozen",,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
"Salmon, fresh, chilled or frozen",,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,3,3,2,3,4,4,5,6,7,7,7,7,8,9,11,11,11,12,12,14,14,16,17,18,16,19,17,22,19,23,23,21,26
,"Salmon, fresh or chilled",,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,3,3,2,3,4,4,5,5,6,6,6,7,7,9,10,10,9,10,11,12,13,15,16,17,15,18,16,21,17,22,22,20,23
,"Salmon, frozen",,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,2
"Blue fish, dried or salted or smoked",,,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,5,5,6,7,7,6,7,8,8,9,10,10,10,12,12,11,10,14,11,9,12
"White fish, dried, salted or smoked",,,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,2,4,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,2,4,3,3,2,1,2
Shellfish,,,0,0,1,1,1,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,5,6,6,5,5,5,6,8,9,9,10,10,12,14,12,13,13,12,11,12,13,14,14,12,13,14,14,16,13,17,15
,"Shellfish, fresh or chilled",,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,4,4,4,3,4,4,3,4,6,6,5,7,9,7,9,8,8,7,7,8,9,9,7,8,9,9,10,9,11,9
,"Shellfish, frozen",,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,5,5,3,4,5,5,5,5,5,6,4,4,4,5,5,5,5,5,6,5,5,5,6,6
Takeaway fish,,,2,3,3,3,4,5,5,6,7,8,7,7,8,10,9,9,10,8,10,12,13,11,8,8,9,10,7,13,13,12,14,12,13,14,13,15,13,15,13,13,13,16,16,13,14,14,14,15,10,12,11
"Salmon, tinned",,,1,2,1,1,2,2,2,3,2,3,3,3,4,4,4,4,4,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,2,2,2,3,2,2,2,2,2,2
Other tinned or bottled fish,,,1,1,2,2,2,2,2,3,3,3,3,4,4,5,5,6,7,6,7,6,6,6,7,7,7,8,8,9,9,9,10,10,10,10,11,12,11,13,14,14,14,13,13,13,14,15,17,16,14,13,15
Ready meals and other fish products - frozen or not frozen,,,2,2,3,4,4,5,6,6,8,8,9,9,10,10,11,12,13,12,13,16,15,11,10,11,12,11,12,16,17,21,23,25,27,28,29,28,31,33,33,35,32,35,34,34,37,41,43,48,41,42,44
Takeaway fish meals and fish products,,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,9,11,11,12,11,10,5,5,4,4,6,5,5,4,5,4,4,5,4,5,5,5,4,6,6,4,9,6,7,7
,Takeaway fish products,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2
,Takeaway fish based meals,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,1,2,2,2,8,10,10,11,10,9,4,4,4,4,5,4,4,4,4,4,4,4,4,4,5,4,3,5,6,3,8,5,6,5
,,,11,11,13,14,14,16,18,19,19,18,19,19,19,19,18,16,18,18,17,16,16,16,17,16,16,16,16,17,17,18,18,19,19,23,26,27,28,28,30,31,30,28,28,29,30,32,32,34,31,39,43
