Food Group,Major Food Code,Minor Food Code,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001-02,2002-03,2003-04,2004-05,2005-06,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
,,,331,403,469,547,602,690,776,823,870,919,952,991,1069,1114,1173,1257,1331,1394,1433,1468,1469,1547,1625,1641,1653,1655,1696,1755,1792,1838,1873,1936,1995,2051,2133,2209,2265,2299,2400,2458,2422,2387,2393,2452,2532,2604,2640,2880,2571,2706,2946
,,,29,37,49,58,66,74,84,89,95,97,100,103,108,113,118,127,134,141,152,154,150,150,148,148,144,141,146,144,147,154,156,164,167,171,187,200,189,187,188,187,182,176,175,179,184,190,184,192,182,202,212
"Liquid wholemilk, including school and welfare",,,24,31,41,49,55,61,68,73,78,78,75,73,69,69,66,65,62,59,54,49,46,43,40,36,35,31,32,30,29,31,26,25,27,25,27,28,24,22,18,18,16,17,17,16,17,19,17,18,16,22,22
,"Liquid wholemilk, full price",,24,31,41,49,55,61,68,73,78,77,75,73,69,69,66,65,62,59,54,49,45,42,40,36,34,31,32,30,29,31,26,25,27,25,27,28,24,22,18,18,16,17,17,16,17,19,17,18,16,22,22
,,UHT milk,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
,,Sterilised,1,2,2,2,3,3,3,4,4,4,4,6,5,4,4,4,3,3,3,2,2,2,2,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,
,,Pasteurised/ homogenised,22,29,39,46,52,57,64,69,73,73,70,67,64,64,61,61,59,55,50,46,42,40,35,33,32,29,30,29,28,30,24,24,26,24,27,28,23,22,17,17,15,17,17,16,16,18,17,18,15,22,22
,School milk [note 6],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,Welfare milk [note 11],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,,,,,,,,,,,,,
Other milk and cream,,,5,7,8,9,10,13,16,16,17,20,25,30,39,44,51,61,71,82,98,104,104,108,108,111,109,110,114,114,118,123,131,139,140,147,160,172,165,165,170,169,166,159,157,163,167,171,167,174,166,179,190
,Skimmed milks,,0,0,0,0,0,1,1,1,2,3,7,9,16,19,24,30,37,42,54,57,57,59,56,59,57,56,56,54,55,55,60,65,63,68,76,81,78,75,76,73,72,61,61,63,61,64,62,61,57,65,62
,,Fully skimmed milk,0,0,0,0,0,0,0,0,1,1,3,4,7,7,8,9,10,11,11,12,11,11,7,8,8,8,7,7,8,8,8,9,9,10,10,11,11,11,10,10,9,8,8,8,8,10,9,9,8,9,8
,,Semi-skimmed milk,0,0,0,0,0,0,1,1,1,2,4,6,10,12,16,21,27,32,42,45,46,48,49,51,49,48,48,46,47,48,52,56,54,58,66,69,66,64,66,63,63,53,53,54,53,54,53,52,49,56,55
,Condensed or evaporated milk,,1,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1
,Infant milks,,0,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,2,2,3,4,4,4,4,4,5,6,6,8,6,8,8,10,7,11,11,8,10,10,9,5,4,5,7
,,Infant or baby milks - ready to drink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,1,1,1,1,1,0
,,Infant or baby milks - dried,0,0,1,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,2,2,3,4,3,3,4,4,4,5,5,7,5,7,6,8,6,9,8,7,8,9,8,4,3,4,7
,Instant dried milk,,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
,Yoghurt and fromage frais,,1,1,2,2,3,3,5,5,5,6,8,10,11,12,14,16,19,23,27,28,27,29,30,31,30,30,33,31,34,36,40,43,44,44,48,51,50,50,52,52,52,52,52,53,52,54,52,54,54,53,60
,,Yoghurt,1,1,2,2,3,3,5,5,5,6,8,10,11,12,14,16,19,23,23,23,23,24,25,25,25,26,28,27,28,31,35,37,39,38,42,45,44,44,46,46,47,47,47,49,49,50,49,52,52,50,58
,,Fromage frais,,,,,,,,,,,,,,,,,,,4,5,5,5,5,6,5,5,5,4,5,5,5,6,6,6,6,6,6,6,6,5,5,5,5,4,3,3,3,2,2,3,3
,Other milks and dairy desserts,,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,4,6,7,9,9,10,10,11,12,14,14,17,19,20,20,20,20,21,21,23,22,22,24,24,25,25,25,28,33,32,32,41,39,43,47
,,Dairy desserts - not frozen,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,5,6,7,7,8,8,10,10,10,12,13,14,14,13,13,14,14,16,16,16,16,15,15,15,15,16,17,15,16,16,16,18,18
,,Dried milk products,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1
,,Milk drinks and other milks [note 7],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,2,2,2,2,2,3,3,5,5,6,4,4,4,4,4,5,4,4,5,5,5,5,5,5,6,8,7,9,8,9,13
,,Non-dairy milk substitutes [note 7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,3,3,3,2,2,3,4,4,4,5,7,8,9,9,15,15,16,15
,Cream,,2,2,2,3,3,4,5,4,5,5,5,5,5,5,5,6,5,6,5,6,5,5,6,6,6,6,6,5,5,5,5,6,6,6,6,7,8,8,8,8,8,8,8,9,10,10,10,11,11,11,11
,,,9,10,12,15,17,20,24,26,27,30,29,31,34,34,38,40,41,43,46,48,47,49,53,55,51,52,54,57,58,59,60,63,64,68,70,75,79,80,81,85,81,79,80,85,87,90,92,107,97,104,111
